%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82497.507,300.248,0.957,14.965,107.176,104.110,-9.081,-3.568,-1.711,-0.000,-0.216,-4.671,-4.165,-5.460,-2.903,0.522,3.804,-4.249,0.942,-0.000,-2.280,-3.378,0.000,63.314,12.912,-1.388,18.029,-12.003
82501.538,300.246,0.957,14.970,107.255,104.110,-8.865,-4.459,-2.352,-0.835,0.216,-5.294,-4.058,-4.924,-3.796,-0.208,3.064,-3.718,1.152,0.209,-1.140,-3.490,0.000,63.276,12.912,-1.387,18.062,-12.024
82489.444,300.248,0.957,14.971,107.255,103.950,-9.081,-3.345,-2.886,-0.940,0.216,-5.813,-4.485,-5.246,-2.121,-0.417,3.170,-3.824,0.314,0.314,-1.659,-3.153,0.000,63.276,12.942,-1.384,18.029,-12.014
82501.538,300.246,0.957,14.975,107.334,103.950,-9.298,-3.010,-2.245,-1.149,0.000,-5.190,-5.126,-4.924,-2.568,-0.000,2.853,-4.143,1.466,-1.149,-1.555,-3.040,0.000,63.276,12.983,-1.382,18.029,-12.003
82505.569,300.248,0.957,14.969,107.255,104.110,-8.757,-3.233,-1.924,-0.731,0.216,-5.501,-4.165,-5.781,-2.680,0.313,3.381,-3.293,1.571,0.105,-1.244,-2.927,0.000,63.256,13.023,-1.379,18.029,-12.024
82505.569,300.246,0.957,14.958,107.097,103.950,-8.973,-3.902,-2.138,-0.522,0.541,-5.190,-4.485,-4.817,-3.238,0.313,3.275,-4.462,1.257,0.523,-0.933,-3.490,0.000,63.237,13.034,-1.376,18.029,-12.014
82497.507,300.248,0.957,14.970,107.255,104.110,-8.757,-3.010,-2.993,-0.104,0.541,-4.982,-3.951,-5.246,-2.791,-0.104,3.275,-3.930,0.524,-0.000,-1.659,-2.590,0.000,63.218,13.074,-1.374,18.029,-11.992
82501.538,300.246,0.957,14.970,107.255,103.950,-9.622,-3.233,-1.817,-0.940,-0.216,-4.671,-5.019,-5.246,-2.903,0.522,3.487,-4.037,1.885,-0.209,-1.348,-2.927,0.000,63.141,13.095,-1.371,18.013,-12.014
82493.475,300.248,0.957,14.965,107.176,103.950,-9.514,-3.456,-1.604,-0.000,0.216,-4.775,-4.165,-5.781,-2.456,0.104,2.958,-3.930,1.257,0.419,-1.659,-3.828,0.000,63.160,13.125,-1.370,18.045,-12.003
82501.538,300.245,0.957,14.953,107.018,104.270,-8.649,-4.459,-2.459,-0.522,0.324,-5.605,-4.165,-4.924,-3.237,-0.208,3.381,-4.462,0.838,0.419,-1.037,-3.040,0.000,63.083,13.135,-1.368,18.013,-12.014
82501.538,300.249,0.957,14.964,107.176,103.950,-8.541,-3.010,-2.566,-0.418,0.757,-5.397,-3.417,-4.603,-2.233,-0.104,4.015,-3.612,0.524,0.523,-1.762,-3.603,0.000,63.045,13.196,-1.366,18.013,-12.024
82505.569,300.248,0.957,14.958,107.097,104.110,-8.973,-3.567,-2.031,-0.940,0.000,-4.775,-4.378,-5.031,-2.567,-0.104,3.487,-3.824,1.571,-0.522,-1.555,-2.702,0.000,63.026,13.217,-1.363,18.045,-12.024
82497.507,300.248,0.957,14.959,107.097,104.110,-9.406,-3.233,-2.031,-0.731,0.324,-5.086,-4.058,-5.246,-2.567,0.626,2.958,-3.611,0.942,-0.209,-1.451,-3.040,0.000,62.987,13.227,-1.362,18.045,-12.014
82493.475,300.249,0.957,14.965,107.176,104.270,-8.757,-4.013,-2.031,-0.313,0.000,-4.878,-3.951,-4.710,-2.679,0.000,3.592,-5.098,1.256,0.628,-1.244,-2.815,0.000,62.929,13.257,-1.361,18.029,-12.024
82493.475,300.248,0.957,14.959,107.097,104.110,-8.649,-2.676,-2.245,-0.104,0.541,-5.605,-4.272,-4.924,-2.121,0.000,3.170,-3.611,0.524,0.314,-1.969,-3.941,0.000,62.872,13.277,-1.359,18.013,-12.014
82497.507,300.246,0.957,14.959,107.097,104.270,-8.325,-2.118,-1.390,-0.731,0.324,-4.567,-4.378,-5.139,-2.567,-0.313,3.170,-3.824,1.047,0.314,-1.244,-3.040,0.000,62.852,13.288,-1.357,18.045,-12.003
82493.475,300.246,0.957,14.954,107.018,103.950,-9.945,-3.679,-1.924,-1.149,0.324,-4.878,-3.951,-5.674,-2.456,0.104,2.853,-4.036,0.838,0.209,-1.140,-3.716,0.000,62.795,13.328,-1.356,18.029,-12.003
82489.444,300.249,0.957,14.960,107.097,104.110,-8.756,-3.902,-2.459,-0.731,-0.216,-4.982,-4.378,-5.353,-3.461,-0.313,2.853,-4.886,0.733,-0.000,-1.451,-2.815,0.000,62.756,13.338,-1.355,18.045,-12.014
82485.412,300.249,0.957,14.960,107.097,103.790,-8.864,-3.456,-2.245,-0.522,0.216,-5.605,-4.165,-4.924,-3.014,-0.104,3.592,-4.142,0.942,0.523,-1.244,-3.603,0.000,62.679,13.369,-1.354,18.062,-12.024
82489.444,300.246,0.957,14.965,107.176,104.110,-9.188,-3.567,-2.245,-0.313,0.433,-4.463,-4.485,-5.031,-2.456,-0.625,3.381,-3.930,0.838,-0.000,-1.348,-2.365,0.000,62.679,13.369,-1.354,18.029,-12.003
82493.475,300.248,0.957,14.959,107.097,104.270,-9.836,-3.567,-2.459,-1.044,0.541,-4.359,-4.058,-4.924,-2.902,0.522,3.064,-4.036,0.942,-0.104,-1.451,-3.378,0.000,62.621,13.410,-1.353,18.029,-12.003
82493.475,300.251,0.957,14.965,107.176,103.950,-8.107,-3.456,-2.031,-0.940,-0.216,-5.087,-4.058,-5.674,-2.679,0.522,3.698,-4.036,1.152,0.209,-1.555,-2.928,0.000,62.564,13.430,-1.353,18.029,-12.024
82489.444,300.249,0.957,14.960,107.097,103.790,-9.188,-3.456,-2.566,-0.313,0.757,-5.814,-4.165,-4.924,-3.237,-0.313,3.804,-4.355,0.838,-0.000,-1.140,-4.166,0.000,62.525,13.471,-1.353,18.045,-12.014
82489.444,300.249,0.957,14.954,107.018,103.950,-9.188,-2.787,-2.566,-0.522,0.541,-4.879,-4.592,-5.139,-2.679,-0.834,3.170,-3.930,0.838,-0.000,-1.140,-3.040,0.000,62.506,13.460,-1.351,18.013,-12.024
82493.475,300.249,0.957,14.954,107.018,104.110,-9.728,-3.345,-2.138,-1.253,0.649,-4.568,-4.485,-5.031,-3.014,0.104,2.853,-4.249,1.466,-0.522,-0.518,-2.477,0.000,62.467,13.481,-1.352,18.045,-12.014
