%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
10030.677,272.785,0.128,14.959,14.332,14.137,-7.352,-2.564,-1.604,0.314,1.081,-4.878,-3.844,-4.175,-2.791,1.044,4.015,-3.187,1.885,1.256,-0.518,-3.603,0.000,23.032,16.803,0.148,210.216,-41.911
10042.771,272.787,0.128,14.991,14.412,14.297,-7.784,-2.118,-1.604,0.523,0.649,-4.256,-4.058,-4.389,-1.675,-0.313,4.015,-3.612,2.094,0.837,-0.829,-2.252,0.000,22.975,16.793,0.150,210.199,-41.922
10038.740,272.788,0.128,14.912,14.253,13.977,-8.108,-2.118,-1.176,-0.626,0.865,-3.944,-3.738,-4.710,-1.786,1.357,3.275,-3.718,2.722,0.314,-0.726,-2.365,0.000,22.936,16.803,0.152,210.216,-41.911
10034.708,272.787,0.128,14.997,14.412,14.457,-7.243,-2.564,-1.069,0.000,0.649,-3.840,-3.310,-4.924,-2.345,1.044,4.121,-3.506,1.989,1.047,-1.762,-2.477,0.000,22.917,16.793,0.154,210.216,-41.932
10038.740,272.788,0.128,15.035,14.491,14.617,-7.352,-3.233,-1.497,0.523,1.081,-4.152,-3.951,-4.496,-2.903,0.731,4.015,-3.506,2.513,0.733,-0.104,-3.265,0.000,22.917,16.773,0.157,210.199,-41.922
10034.708,272.785,0.128,14.956,14.332,14.457,-7.784,-2.453,-1.497,0.209,0.973,-4.049,-3.738,-4.496,-2.010,0.940,3.909,-3.399,1.780,0.628,-0.726,-2.927,0.000,22.878,16.763,0.159,210.199,-41.922
10034.708,272.785,0.128,14.915,14.253,14.297,-7.135,-2.787,-1.283,-0.313,0.757,-4.049,-4.058,-4.817,-2.568,1.148,4.015,-3.399,2.513,0.209,-1.140,-2.815,0.000,22.859,16.753,0.162,210.232,-41.911
10030.677,272.785,0.128,14.959,14.332,14.297,-7.784,-2.787,-0.962,0.418,0.973,-3.945,-3.524,-5.674,-2.010,1.148,4.121,-2.868,2.094,1.256,-1.140,-3.040,0.000,22.821,16.753,0.164,210.199,-41.922
10034.708,272.787,0.128,14.873,14.174,14.457,-7.135,-3.679,-1.283,0.627,0.757,-3.945,-3.631,-4.389,-2.121,0.731,4.121,-4.037,2.094,1.465,-0.726,-3.040,0.000,22.763,16.732,0.168,210.199,-41.911
10034.708,272.790,0.128,14.956,14.332,14.457,-7.135,-1.784,-2.031,0.105,1.190,-4.256,-4.058,-4.282,-1.340,0.940,4.121,-3.293,1.361,1.256,-1.451,-2.815,0.000,22.763,16.753,0.170,210.232,-41.911
10042.771,272.788,0.128,14.950,14.332,14.457,-7.352,-2.341,-1.069,-0.313,0.649,-4.049,-4.592,-4.496,-1.451,0.731,3.804,-3.293,2.199,0.628,-1.555,-2.252,0.000,22.782,16.722,0.174,210.199,-41.932
10038.740,272.788,0.128,14.953,14.332,14.617,-8.216,-2.230,-0.748,0.418,0.649,-4.256,-3.204,-4.817,-2.009,0.731,3.592,-3.718,1.989,0.837,-0.933,-2.365,0.000,22.724,16.722,0.177,210.216,-41.911
10034.708,272.787,0.128,14.956,14.332,14.457,-7.135,-3.345,-1.390,0.314,0.216,-3.945,-3.738,-4.282,-2.344,0.522,3.909,-3.930,2.094,1.151,-1.140,-2.477,0.000,22.686,16.722,0.180,210.232,-41.911
10038.740,272.787,0.128,14.994,14.412,14.457,-7.460,-1.449,-1.710,-0.209,1.514,-4.256,-3.631,-4.603,-1.786,0.626,3.592,-3.399,1.676,0.733,-0.726,-3.153,0.000,22.686,16.702,0.183,210.232,-41.900
10038.740,272.788,0.128,14.994,14.412,14.617,-7.676,-2.341,-1.604,-0.313,0.865,-4.152,-3.844,-4.068,-1.786,0.104,4.121,-2.974,2.094,0.942,-0.104,-2.477,0.000,22.667,16.712,0.185,210.216,-41.922
10026.646,272.787,0.128,14.962,14.332,14.457,-8.108,-2.118,-1.390,-0.522,1.298,-4.152,-3.204,-4.710,-1.674,0.940,3.275,-3.506,1.990,1.047,-0.415,-2.477,0.000,22.628,16.743,0.188,210.199,-41.922
10038.740,272.787,0.128,14.953,14.332,14.457,-6.918,-3.010,-0.962,0.418,0.216,-3.945,-3.738,-4.496,-1.786,1.148,3.698,-3.718,1.990,1.779,-1.451,-3.040,0.000,22.609,16.732,0.191,210.232,-41.911
10034.708,272.787,0.128,14.956,14.332,14.617,-7.350,-2.007,-1.497,0.418,1.081,-4.464,-3.524,-4.389,-2.233,1.044,3.804,-3.293,2.513,0.837,-0.829,-3.265,0.000,22.570,16.732,0.194,210.199,-41.922
10034.708,272.788,0.128,14.915,14.253,14.297,-8.215,-1.672,-1.390,0.000,1.081,-3.945,-3.417,-4.496,-1.674,-0.417,4.015,-3.399,2.199,1.361,-1.244,-2.139,0.000,22.570,16.743,0.196,210.216,-41.932
10034.708,272.787,0.128,14.997,14.412,14.137,-8.107,-2.899,-1.497,-0.835,0.433,-3.841,-3.631,-4.710,-2.121,1.357,3.275,-3.824,2.409,0.628,-0.415,-2.477,0.000,22.551,16.763,0.198,210.199,-41.943
10030.677,272.790,0.128,15.041,14.491,14.457,-7.134,-2.787,-1.069,1.046,0.541,-3.737,-3.417,-4.603,-1.898,1.253,4.649,-3.506,1.885,0.942,-1.140,-3.040,0.000,22.551,16.783,0.201,210.216,-41.922
10030.677,272.787,0.128,15.041,14.491,14.617,-7.783,-3.345,-1.710,-0.522,1.081,-4.775,-3.844,-4.496,-2.679,0.731,3.909,-3.612,2.409,1.256,-0.311,-2.702,0.000,22.513,16.783,0.203,210.232,-41.911
10038.740,272.787,0.128,14.912,14.253,14.457,-7.567,-2.118,-2.031,0.418,0.433,-3.945,-3.524,-4.817,-1.786,0.418,3.592,-3.293,1.466,0.733,-0.829,-2.815,0.000,22.493,16.803,0.206,210.248,-41.922
10034.708,272.788,0.128,14.956,14.332,14.617,-7.350,-2.230,-1.069,-0.731,1.081,-3.633,-4.058,-4.496,-1.451,1.044,4.121,-3.612,2.304,0.628,-1.244,-2.927,0.000,22.436,16.824,0.208,210.216,-41.900
10034.708,272.791,0.128,14.997,14.412,14.137,-7.783,-2.564,-1.069,0.314,0.865,-4.049,-3.310,-5.460,-1.340,0.940,3.698,-3.506,2.304,1.675,-0.933,-3.378,0.000,22.416,16.844,0.210,210.232,-41.922
10042.771,272.788,0.128,14.909,14.253,14.457,-7.026,-3.010,-1.390,0.314,0.973,-4.049,-3.097,-4.175,-2.679,1.357,3.909,-3.930,2.199,1.361,-0.933,-2.252,0.000,22.397,16.864,0.212,210.199,-41.911
10034.708,272.790,0.128,15.038,14.491,14.297,-7.567,-2.341,-1.604,-0.209,1.190,-4.256,-3.631,-4.603,-1.228,1.253,3.592,-3.187,2.199,2.094,-0.933,-2.815,0.000,22.416,16.936,0.214,210.199,-41.932
