%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81961.332,299.933,0.952,14.968,106.634,1.882,-6.378,-2.341,-0.641,0.418,1.514,-3.114,-2.990,-3.854,-1.228,2.088,5.283,-3.718,3.037,2.303,-0.933,-1.802,0.000,-544.798,-289.718,14.557,40.131,-40.022
81965.363,299.935,0.952,14.973,106.713,1.562,-6.487,-2.007,-1.069,0.523,1.081,-4.256,-3.097,-4.924,-1.786,1.566,4.120,-2.974,2.722,1.256,-0.415,-2.703,0.000,-544.798,-289.718,14.557,40.147,-40.044
81957.300,299.935,0.952,14.973,106.713,1.722,-6.703,-1.895,-0.962,0.418,0.541,-3.114,-3.097,-4.068,-1.228,0.522,4.332,-3.506,2.513,1.780,-0.415,-2.365,0.000,-544.798,-289.718,14.557,40.131,-40.044
81969.394,299.938,0.952,14.972,106.713,1.562,-7.568,-2.453,-0.321,-0.418,1.298,-3.633,-3.417,-4.389,-1.898,1.357,3.487,-3.293,3.141,1.047,-0.622,-2.140,0.000,-544.798,-289.718,14.557,40.131,-40.033
81957.300,299.937,0.952,14.979,106.792,1.722,-7.243,-2.118,-1.283,0.837,0.324,-3.530,-3.524,-4.282,-1.451,1.775,4.649,-3.399,3.037,2.094,-1.244,-1.802,0.000,-544.798,-289.718,14.557,40.131,-40.044
81961.332,299.935,0.952,14.968,106.634,1.722,-6.703,-2.676,-1.390,0.314,0.757,-3.737,-3.417,-4.389,-2.902,1.044,4.120,-3.718,2.932,2.094,-0.415,-2.477,0.000,-544.798,-289.718,14.557,40.131,-40.054
81953.269,299.932,0.952,14.968,106.634,1.722,-6.487,-1.784,-1.176,0.314,1.406,-3.945,-3.097,-4.282,-1.563,0.626,4.226,-3.187,2.304,1.256,-0.207,-2.140,0.000,-544.798,-289.718,14.557,40.163,-40.054
81957.300,299.937,0.952,14.962,106.555,1.562,-7.135,-2.118,-0.642,-0.418,1.514,-3.633,-4.165,-4.817,-1.451,1.044,4.649,-3.187,3.141,1.466,-0.104,-1.802,0.000,-544.798,-289.718,14.557,40.114,-40.054
81961.332,299.937,0.952,14.962,106.555,1.562,-7.135,-1.672,-0.535,1.046,1.406,-2.907,-3.097,-4.710,-1.340,1.671,4.226,-2.443,3.769,2.513,-0.311,-2.252,0.000,-544.798,-289.718,14.557,40.131,-40.054
81961.332,299.932,0.952,14.962,106.555,1.241,-6.487,-2.230,-0.642,0.732,1.190,-3.218,-3.204,-4.496,-2.233,1.566,4.860,-3.930,3.246,1.780,0.000,-2.477,0.000,-544.798,-289.718,14.557,40.163,-40.033
81957.300,299.933,0.952,14.968,106.634,1.562,-6.811,-1.561,-1.176,0.732,1.947,-3.633,-3.097,-3.533,-1.228,1.566,4.755,-2.656,3.246,2.198,-0.207,-3.153,0.000,-544.798,-289.718,14.557,40.131,-40.054
81957.300,299.933,0.952,14.962,106.555,1.401,-6.487,-1.561,-0.642,0.105,0.865,-3.322,-3.524,-4.282,-1.340,0.835,4.543,-2.762,3.141,1.780,-0.311,-1.802,0.000,-544.798,-289.718,14.557,40.147,-40.033
81961.332,299.937,0.952,14.957,106.476,1.882,-7.027,-1.895,-0.642,-0.313,1.406,-2.907,-2.776,-4.175,-1.451,2.297,4.332,-2.974,3.246,1.675,-0.622,-1.802,0.000,-544.798,-289.718,14.557,40.098,-40.033
81953.269,299.935,0.952,14.957,106.476,1.401,-5.838,-2.007,-0.535,0.314,0.649,-2.699,-2.776,-4.710,-1.563,1.670,4.226,-3.718,2.827,2.408,-0.622,-2.928,0.000,-544.798,-289.718,14.557,40.147,-40.076
81953.269,299.935,0.952,14.968,106.634,1.401,-6.487,-2.118,-0.642,0.523,1.730,-3.322,-3.310,-3.961,-2.010,1.566,4.332,-3.081,2.827,1.675,-0.207,-2.477,0.000,-544.798,-289.718,14.557,40.131,-40.033
81953.269,299.933,0.952,14.963,106.555,1.401,-6.811,-2.118,-1.176,0.418,1.406,-3.322,-3.417,-4.389,-0.893,0.522,4.438,-3.081,2.199,1.989,-0.311,-2.139,0.000,-544.798,-289.718,14.557,40.131,-40.054
81953.269,299.935,0.952,14.963,106.555,1.401,-7.135,-1.895,-0.214,-0.104,1.081,-3.737,-3.310,-4.282,-1.228,1.670,4.121,-3.293,3.037,1.256,-1.244,-2.252,0.000,-544.798,-289.718,14.557,40.131,-40.065
81949.237,299.933,0.952,14.958,106.476,1.081,-7.027,-1.672,-0.642,0.627,0.649,-3.322,-3.097,-5.353,-1.786,1.670,3.487,-3.506,3.141,1.884,-0.933,-2.252,0.000,-544.798,-289.718,14.557,40.131,-40.033
81953.269,299.935,0.952,14.957,106.476,1.241,-7.243,-2.676,-1.497,0.523,1.081,-3.114,-2.990,-3.961,-1.451,1.566,4.649,-3.081,2.932,2.094,-0.207,-2.702,0.000,-544.798,-289.718,14.557,40.114,-40.044
81953.269,299.933,0.952,14.957,106.476,1.241,-6.162,-1.115,-1.390,0.523,1.081,-3.945,-2.563,-4.389,-1.005,1.461,4.121,-2.656,2.304,1.884,-0.311,-2.702,0.000,-544.798,-289.718,14.557,40.147,-40.044
81949.237,299.932,0.952,14.946,106.318,1.401,-6.919,-1.784,-0.748,0.314,1.298,-3.322,-3.844,-4.389,-1.340,1.357,4.543,-3.187,3.455,2.303,-0.726,-2.027,0.000,-544.798,-289.718,14.557,40.098,-40.054
81949.237,299.933,0.952,14.958,106.476,1.081,-7.243,-1.784,-0.642,-0.313,1.406,-3.426,-2.563,-4.603,-1.898,1.879,3.487,-2.762,3.141,1.465,-0.311,-2.365,0.000,-544.798,-289.718,14.557,40.131,-40.054
81949.237,299.935,0.952,14.958,106.476,1.081,-6.378,-2.676,-0.855,0.523,0.324,-3.426,-3.631,-4.282,-1.786,1.566,4.438,-3.187,3.141,1.465,-0.933,-2.139,0.000,-544.798,-289.718,14.557,40.114,-40.044
81953.269,299.937,0.952,14.968,106.634,1.241,-6.487,-2.230,-0.428,0.314,1.514,-3.737,-2.883,-4.175,-1.898,1.670,4.755,-2.656,2.932,2.303,-0.311,-3.490,0.000,-544.798,-289.718,14.557,40.163,-40.044
81949.237,299.935,0.952,14.958,106.476,1.081,-6.595,-1.449,-0.855,0.837,0.865,-3.218,-2.990,-4.175,-1.116,1.461,4.332,-3.293,3.037,1.570,-0.000,-1.689,0.000,-544.798,-289.718,14.557,40.114,-40.033
81953.269,299.937,0.952,14.957,106.476,1.241,-6.487,-1.115,-0.855,0.209,2.163,-2.803,-2.990,-4.068,-1.786,2.192,4.649,-2.868,3.455,1.151,-0.518,-1.914,0.000,-544.798,-289.718,14.557,40.114,-40.065
81953.269,299.935,0.952,14.963,106.555,1.081,-6.811,-1.784,-0.855,0.627,1.081,-3.841,-3.097,-4.924,-1.451,1.253,4.332,-3.293,2.618,1.570,-0.518,-2.590,0.000,-544.798,-289.718,14.557,40.131,-40.044
81953.269,299.937,0.952,14.952,106.397,0.761,-6.487,-2.899,-1.283,0.418,0.973,-3.530,-2.990,-3.640,-1.786,1.670,4.438,-3.081,3.246,2.408,0.311,-2.139,0.000,-544.798,-289.718,14.557,40.131,-40.054
81945.206,299.935,0.952,14.958,106.476,0.761,-6.378,-1.338,-1.390,0.732,1.190,-3.841,-3.524,-4.175,-1.451,0.835,3.698,-3.187,2.409,2.198,-0.207,-2.815,0.000,-544.798,-289.718,14.557,40.131,-40.033
81953.269,299.935,0.952,14.957,106.476,1.081,-6.703,-2.230,-0.535,-0.418,0.324,-3.218,-4.271,-4.175,-2.010,1.566,4.649,-3.506,3.037,1.570,-0.000,-2.139,0.000,-544.798,-289.718,14.557,40.131,-40.033
81945.206,299.937,0.952,14.964,106.555,0.921,-7.243,-2.007,-0.000,0.209,1.298,-3.322,-2.883,-4.389,-1.675,1.983,3.804,-3.081,2.932,1.675,-0.207,-2.365,0.000,-544.798,-289.718,14.557,40.114,-40.054
81949.237,299.937,0.952,14.963,106.555,0.921,-7.243,-2.899,-0.855,0.000,0.865,-3.530,-2.883,-4.282,-1.675,1.044,4.754,-3.612,2.723,1.780,-0.518,-2.252,0.000,-544.798,-289.718,14.557,40.131,-40.044
81953.269,299.937,0.952,14.968,106.634,0.761,-6.810,-1.784,-1.176,0.627,1.838,-4.152,-3.524,-4.389,-2.121,1.670,3.804,-2.868,2.723,1.780,-0.207,-2.927,0.000,-544.798,-289.718,14.557,40.147,-40.065
81953.269,299.937,0.952,14.963,106.555,0.921,-6.594,-2.007,-0.748,0.000,0.973,-3.322,-3.204,-3.961,-0.782,1.357,4.543,-2.656,3.351,1.989,-0.207,-2.027,0.000,-544.798,-289.718,14.557,40.114,-40.033
81949.237,299.938,0.952,14.963,106.555,0.761,-7.350,-2.007,-0.428,0.000,1.406,-3.426,-3.524,-4.603,-1.340,1.775,3.487,-3.399,2.828,1.256,-0.518,-2.027,0.000,-544.798,-289.718,14.557,40.131,-40.044
81945.206,299.940,0.952,14.969,106.634,1.081,-6.269,-1.672,-0.535,0.523,0.649,-3.011,-2.883,-4.603,-0.893,1.879,4.438,-3.399,3.037,2.408,-0.622,-1.239,0.000,-544.798,-289.718,14.557,40.163,-40.022
81945.206,299.937,0.952,14.964,106.555,0.761,-6.161,-1.895,-0.748,0.837,1.622,-3.218,-2.990,-3.961,-2.121,1.775,4.543,-3.293,2.723,2.094,-0.311,-2.365,0.000,-544.798,-289.718,14.557,40.114,-40.022
81957.300,299.938,0.952,14.957,106.476,1.081,-6.702,-1.338,-2.031,-0.209,1.190,-3.530,-3.204,-4.389,-1.786,0.835,3.909,-2.974,2.409,1.675,-0.622,-1.914,0.000,-544.798,-289.718,14.557,40.131,-40.065
81945.206,299.937,0.952,14.964,106.555,1.241,-6.269,-1.672,-0.535,0.105,1.081,-3.322,-3.738,-3.961,-1.898,2.088,3.909,-2.337,3.246,1.256,-0.518,-2.365,0.000,-544.798,-289.718,14.557,40.114,-40.044
81945.206,299.938,0.952,14.969,106.634,1.081,-6.918,-1.895,-0.642,0.105,1.406,-3.530,-3.738,-5.353,-1.675,1.461,4.015,-3.718,2.723,1.884,-1.037,-2.139,0.000,-544.798,-289.718,14.557,40.147,-40.065
81949.237,299.937,0.952,14.963,106.555,1.401,-6.702,-2.676,-0.962,0.523,1.514,-3.426,-3.097,-4.068,-2.010,1.566,4.860,-3.612,2.932,1.989,-0.104,-2.477,0.000,-544.798,-289.718,14.557,40.131,-40.054
81953.269,299.938,0.952,14.974,106.713,1.241,-6.486,-1.449,-1.069,0.314,1.298,-4.256,-3.310,-4.175,-1.228,1.044,4.015,-3.081,2.409,1.570,-0.415,-3.040,0.000,-544.798,-289.718,14.557,40.163,-40.044
